bg,bg[style:fill]=none>,bg-img,BACK,bg-img
53,,sl_su_4-4-7.svg,n,
1,,sl_eq_mortar_82.svg,n,
13,,sl_su_6-2-8.svg,n,
10,,sl_su_2-3-7.svg,n,
12,,sl_su_lmg_2-6.svg,n,
6,,sl_su_mmg_4-10.svg,n,
3,,sl_su_hmg.svg,n,
2,,sl_eq_radio.svg,n,
1,,sl_su_ldr_blank.svg,n,
1,,sl_su_ldr_dottski.svg,n,
1,,sl_su_ldr_Berki.svg,n,
1,,sl_su_ldr_kirken.svg,n,
1,,sl_su_ldr_dobovich.svg,n,
1,,sl_su_ldr_cohenov.svg,n,
1,,sl_su_ldr_eastonov.svg,n,
1,,sl_su_ldr_burnski.svg,n,
1,,sl_art_57.svg,n,
1,,sl_art_76.svg,n,
20,,sl_mkr_qmark.svg,n,
32,,sl_US_6-6-6.svg,n,
16,,sl_US_8-4-7.svg,n,
11,,sl_US_6-6-6.svg,n,
11,,sl_su_mmg_4-10.svg,n,
7,,sl_us_hmg.svg,n,
6,,sl_us_bazooka.svg,n,
5,,sl_eq_dc.svg,n,
2,,sl_eq_flamethrower.svg,n,
1,,sl_us_ldr_jones.svg,n,
1,,sl_us_ldr_jackson.svg,n,
1,,sl_us_ldr_madrow.svg,n,
1,,sl_us_ldr_thornton.svg,n,
1,,sl_us_ldr_robinson.svg,n,
1,,sl_us_ldr_shaw.svg,n,
1,,sl_us_ldr_miller.svg,n,
1,,sl_us_ldr_allen.svg,n,
1,,sl_us_ldr_greenwood.svg,n,
1,,sl_us_ldr_blumberg.svg,n,
1,,sl_eq_flamethrower.svg,n,
4,,sl_mkr_qmark.svg,n,
4,,sl_eq_mortar_81.svg,n,
3,,sl_art_105.svg,n,
3,,sl_art_57.svg,n,
4,,sl_eq_radio.svg,n,
1,,sl_us_ldr_blank.svg,n,
10,,sl_mkr_qmark.svg,n,
